Person_Id,Company Name,Car,Style,Range(Km/Full Charge),Transmission,VehicleType,PriceRange,Capacity(Seats),BootSpace,BaseModel,TopModel,Charging Time(hrs),Color,Free Services,Delivery Days,Ratings(out of 5)
0b2908,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,11000000,5,656 L,S,Sportback 55,12,Red,3 Years of Free Scheduled Maintenance,50,1.02
90e327,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Black,5 Years of Free Service Plan,3,3.73
111854,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1240000,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,33,3.07
2e5a64,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10600000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,23,3.69
21e585,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,White,Free Charging Cable and Installation,14,2.35
fe24ca,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1764000,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,16,4.31
05a535,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2379000,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,11,1.89
61ae18,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,White,5 Years of Free Service Plan,36,3.86
6503d2,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Silver,3 Years of Free Maintenance,51,1.75
5dbb20,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1399000,5,350 L,XM,Dark XZ Plus LUX,8,Silver,Free Charging Station Installation,41,3.49
35ab6f,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,20,3.87
6a1a50,Jaguar,Jaguar_I_Pace,Premium Midsize Sedan,470,Automatic,Electric,10900000,5,656 L,S,Sportback 55,12,Black,3 Years of Free Scheduled Maintenance,4,1.49
7300de,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2379000,5,332 L,Premium Dual Tone,HSE,9,Blue,3 Years of Free Roadside Assistance,34,3.66
0adc62,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2385000,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,49,1.76
391280,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,34,4.37
985cd9,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,White,Free Tire Rotation and Wheel Alignment,31,3.78
53358f,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1240000,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,44,4.19
9c2f3c,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,24,2.57
d31deb,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,50,2.24
ce56e5,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,Grey,3 Years of Free Maintenance,15,1.98
913061,Tata Motor,Tata_Nexon_EV_Max,Compact SUV,437,Automatic,Electric,1775065,5,350 L,XZ Plus 3.3 kW,XZ Plus Lux 7.2 kW,8,Silver,Free Charging Cable and Installation,41,1.85
4b030d,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1255500,5,316 L,XE,XZ Plus Dual Tone,8,White,3 Years of Free Maintenance,47,3.75
0d129e,BMW,BM_iX,Premium Fullsize SUV,425,Automatic,Electric,11600000,5,500 L,na,na,11,Black,Free Tire Rotation and Wheel Alignment,29,4.44
dc456f,MG Motor,MG_ZS_EV,Compact SUV,419,Automatic,Electric,2210000,5,448 L,Excite,Exclusive,7,Red,Free Home Charging Unit,12,2.04
ebc1c2,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,Black,4 Years of Free Servicing and Maintenance,10,1.48
44b586,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10600000,5,660 L,Premium Plus,Prestige,9,White,4 Years of Free Servicing and Maintenance,32,1.11
b04b51,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1633445,5,350 L,XM,Dark XZ Plus LUX,8,White,Free Charging Station Installation,47,4.92
82e5d5,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1255500,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,22,3.21
a20260,Tata Motor,Tata_Nexon_EV,Compact SUV,312,Automatic,Electric,1633445,5,350 L,XM,Dark XZ Plus LUX,8,Red,Free Charging Station Installation,30,1.87
506a63,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,White,Free Maintenance and Roadside Assistance,52,2.72
3fa988,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387900,5,332 L,Premium Dual Tone,HSE,9,Silver,3 Years of Free Roadside Assistance,56,4.75
08ce56,Hyundai Motor India Ltd,Hyundai_Kona_Electric,Compact SUV,452,Automatic,Electric,2387520,5,332 L,Premium Dual Tone,HSE,9,Grey,3 Years of Free Roadside Assistance,10,1.84
278880,Porsche,Porsche_Taycan,Premium Sports Sedan,na,Automatic,Electric,15000000,4,366 L,na,na,9,Blue,Free Maintenance and Roadside Assistance,59,2.37
88da00,Audi,Audi_E_Tron_GT,Premium Coupe,388,Automatic,Electric,18000000,5,405 L,Quattro,na,9,Red,5 Years of Free Service Plan,19,3.31
aae34e,BYD Auto,BYD_E6,Subcompact MPV,415,Automatic,Electric,2915000,5,580 L,STD,na,6,White,Free Software Updates,45,2.38
f83be8,Audi,Audi_E_Tron,Compact SUV,400,Automatic,Electric,10100000,5,660 L,Premium Plus,Prestige,9,Silver,4 Years of Free Servicing and Maintenance,23,4.9
8b078f,Mercedes-Benz,Mercedes_Benz_EQC,Compact SUV,471,Automatic,Electric,10000000,5,500 L,EQC 400 4MATIC,EQC 400 4MATIC AMG Line,11,White,3 Years of Free Maintenance,26,1.03
a11e4d,Tata Motor,Tata_Tigor_EV,Subcompact Sedan,306,Automatic,Electric,1427200,5,316 L,XE,XZ Plus Dual Tone,8,Silver,3 Years of Free Maintenance,54,4.64
